"name","CC","population","lifeexp","income","continent"
"Afghanistan","AFG",40578842,62.879,357.261152798144,"Asia"
"Albania","ALB",2777689,76.833,6846.42614266044,"Europe"
"Algeria","DZA",45477389,77.129,4961.55257664733,"Africa"
"Angola","AGO",35635029,61.929,2929.69445467272,"Africa"
"Antigua and Barbuda","ATG",92840,79.236,20117.7653310355,"Americas"
"Argentina","ARG",45407904,76.064,13935.6811110049,"Americas"
"Armenia","ARM",2969200,73.372,6571.97445545099,"Asia"
"Aruba","ABW",107310,74.992,30559.5335346581,"Americas"
"Australia","AUS",26014399,83.2,64997.0136536475,"Oceania"
"Austria","AUT",9041851,81.0926829268293,52176.6649141178,"Europe"
"Azerbaijan","AZE",10141756,73.488,7770.594223351,"Asia"
"Bahamas, The","BHS",397538,74.358,33044.388209429,"Americas"
"Bahrain","BHR",1524693,79.246,30616.2610677495,"Asia"
"Bangladesh","BGD",169384897,73.698,2716.48592677835,"Asia"
"Barbados","BRB",282318,77.706,22164.0260273876,"Americas"
"Belarus","BLR",9228071,73.1114634146342,7994.64806074889,"Europe"
"Belgium","BEL",11680210,81.6975609756098,50807.2047084918,"Europe"
"Belize","BLZ",402733,70.962,7068.45478269722,"Americas"
"Benin","BEN",13759501,59.954,1264.70765976655,"Africa"
"Bermuda","BMU",64749,81.571,120897.311155385,"Americas"
"Bhutan","BTN",780914,72.229,3711.32767902157,"Asia"
"Bolivia","BOL",12077154,64.928,3643.92826968677,"Americas"
"Bosnia and Herzegovina","BIH",3204802,75.293,7655.59421024383,"Europe"
"Botswana","BWA",2439892,65.913,8329.04032229144,"Africa"
"Brazil","BRA",210306415,73.425,9281.33334441234,"Americas"
"Brunei Darussalam","BRN",455370,74.551,36632.9280421411,"Asia"
"Bulgaria","BGR",6643324,74.3609756097561,13644.201582807,"Europe"
"Burkina Faso","BFA",22509038,59.766,836.118304593682,"Africa"
"Burundi","BDI",13321097,61.977,250.634225368744,"Africa"
"Cabo Verde","CPV",519741,74.722,4323.31362665974,"Africa"
"Cambodia","KHM",17201724,69.896,2325.03050040841,"Asia"
"Cameroon","CMR",27632771,60.958,1604.87726954895,"Africa"
"Canada","CAN",38939056,81.2956097560976,55509.393176404,"Americas"
"Central African Republic","CAF",5098039,54.477,467.359825026238,"Africa"
"Chad","TCD",18455316,52.997,671.720147647873,"Africa"
"Chile","CHL",19553036,79.519,15451.1319576678,"Americas"
"China","CHN",1412175000,78.587,12662.5826712038,"Asia"
"Colombia","COL",51737944,73.659,6674.59601948063,"Americas"
"Comoros","COM",834188,63.68,1489.49566257969,"Africa"
"Congo, Dem. Rep.","COD",102396968,59.743,642.612265820033,"Africa"
"Congo, Rep.","COG",6035104,63.053,2620.83804267402,"Africa"
"Costa Rica","CRI",5081765,77.32,13625.9008491328,"Americas"
"Cote d'Ivoire","CIV",30395002,58.916,2308.70654660366,"Africa"
"Croatia","HRV",3855641,77.5756097560976,18466.0955472648,"Europe"
"Cyprus","CYP",1331370,81.889,33938.9453125,"Asia"
"Czechia","CZE",10672118,79.0292682926829,28282.2236715857,"Europe"
"Denmark","DNK",5903037,81.3048780487805,68091.3191138669,"Europe"
"Djibouti","DJI",1137096,62.859,3231.30015326477,"Africa"
"Dominica","DMA",66826,72.981,9085.67412772363,"Americas"
"Dominican Republic","DOM",11230734,74.17,10109.5234003521,"Americas"
"Ecuador","ECU",17823897,77.894,6540.99824522101,"Americas"
"Egypt, Arab Rep.","EGY",112618250,70.159,4233.30783744856,"Africa"
"El Salvador","SLV",6280319,71.475,5093.51833879776,"Americas"
"Equatorial Guinea","GNQ",1803545,61.19,7589.29964909381,"Africa"
"Estonia","EST",1348840,77.9439024390244,28451.1477825175,"Europe"
"Eswatini","SWZ",1218917,56.36,3852.08573272946,"Africa"
"Ethiopia","ETH",125384287,65.645,1011.0732858233,"Africa"
"Faroe Islands","FRO",53952,83.3,66108.733645837,"Europe"
"Fiji","FJI",919422,68.312,5405.03007408295,"Oceania"
"Finland","FIN",5556106,81.1878048780488,50438.4753952355,"Europe"
"France","FRA",68065015,82.2292682926829,41082.8119320747,"Europe"
"French Polynesia","PYF",280378,83.55,20738.6499971661,"Oceania"
"Gabon","GAB",2430747,65.694,8409.2074145028,"Africa"
"Gambia, The","GMB",2636470,62.906,836.244875868476,"Africa"
"Georgia","GEO",3712502,71.587,6729.84659930283,"Asia"
"Germany","DEU",83797985,80.7056097560976,49686.1154582583,"Europe"
"Ghana","GHA",33149152,63.945,2240.27945094566,"Africa"
"Greece","GRC",10436882,80.6365853658537,20971.8349258283,"Europe"
"Grenada","GRD",116913,75.335,10474.2652893842,"Americas"
"Guam","GUM",165180,78.33,41833.1517132825,"Oceania"
"Guatemala","GTM",17847877,68.674,5358.08963795,"Americas"
"Guinea","GIN",14055137,58.985,1416.59612011764,"Africa"
"Guinea-Bissau","GNB",2105529,59.861,853.281304044102,"Africa"
"Guyana","GUY",821637,65.989,17913.4910146288,"Americas"
"Haiti","HTI",11503606,63.728,1760.62635668777,"Americas"
"Honduras","HND",10463872,70.728,3003.28996826399,"Americas"
"Hong Kong SAR, China","HKG",7346100,83.6609756097561,48826.0527728276,"Asia"
"Hungary","HUN",9644377,76.0170731707317,18353.298364905,"Europe"
"Iceland","ISL",382003,82.1707317073171,75314.085560994,"Europe"
"India","IND",1425423212,67.744,2352.61392452078,"Asia"
"Indonesia","IDN",278830529,68.25,4730.74548910499,"Asia"
"Iran, Islamic Rep.","IRN",89524246,74.556,4405.09291519791,"Asia"
"Iraq","IRQ",44070551,71.336,6504.12428393548,"Asia"
"Ireland","IRL",5165700,83.0560975609756,106194.755859223,"Europe"
"Israel","ISR",9557500,82.7,54930.7261602593,"Asia"
"Italy","ITA",59013667,82.9,35635.7442204098,"Europe"
"Jamaica","JAM",2839144,70.629,6022.15341099999,"Americas"
