"Region_name","year","GDHI_pc"
"North East","1997","9107"
"North East","1998","9150"
"North East","1999","9494"
"North East","2000","9987"
"North East","2001","10448"
"North East","2002","10631"
"North East","2003","10962"
"North East","2004","11470"
"North East","2005","11697"
"North East","2006","12121"
"North East","2007","12434"
"North East","2008","12721"
"North East","2009","13291"
"North East","2010","13509"
"North East","2011","13654"
"North East","2012","14227"
"North East","2013","14564"
"North East","2014","14959"
"North East","2015","15516"
"North East","2016","15718"
"North East","2017","16038"
"North East","2018","16474"
"North East","2019","16991"
"North East","2020","17239"
"North East","2021","17592"
"North East","2022","18388"
"North West","1997","9608"
"North West","1998","9752"
"North West","1999","10261"
"North West","2000","10710"
"North West","2001","11091"
"North West","2002","11383"
"North West","2003","11768"
"North West","2004","12215"
"North West","2005","12598"
"North West","2006","13014"
"North West","2007","13531"
"North West","2008","13756"
"North West","2009","14260"
"North West","2010","14378"
"North West","2011","14506"
"North West","2012","14972"
"North West","2013","15427"
"North West","2014","15828"
"North West","2015","16551"
"North West","2016","16664"
"North West","2017","17108"
"North West","2018","17629"
"North West","2019","18229"
"North West","2020","18372"
"North West","2021","18805"
"North West","2022","19752"
"Yorkshire and The Humber","1997","9482"
"Yorkshire and The Humber","1998","9729"
"Yorkshire and The Humber","1999","10199"
"Yorkshire and The Humber","2000","10629"
"Yorkshire and The Humber","2001","10983"
"Yorkshire and The Humber","2002","11264"
"Yorkshire and The Humber","2003","11618"
"Yorkshire and The Humber","2004","12004"
"Yorkshire and The Humber","2005","12302"
"Yorkshire and The Humber","2006","12729"
"Yorkshire and The Humber","2007","13247"
"Yorkshire and The Humber","2008","13417"
"Yorkshire and The Humber","2009","13784"
"Yorkshire and The Humber","2010","13841"
"Yorkshire and The Humber","2011","14067"
"Yorkshire and The Humber","2012","14477"
"Yorkshire and The Humber","2013","14883"
"Yorkshire and The Humber","2014","15300"
"Yorkshire and The Humber","2015","16021"
"Yorkshire and The Humber","2016","16106"
"Yorkshire and The Humber","2017","16582"
"Yorkshire and The Humber","2018","17189"
"Yorkshire and The Humber","2019","17693"
"Yorkshire and The Humber","2020","17876"
"Yorkshire and The Humber","2021","18347"
"Yorkshire and The Humber","2022","19249"
"East Midlands","1997","9672"
"East Midlands","1998","9849"
"East Midlands","1999","10285"
"East Midlands","2000","10672"
"East Midlands","2001","11117"
"East Midlands","2002","11384"
"East Midlands","2003","11856"
"East Midlands","2004","12309"
"East Midlands","2005","12643"
"East Midlands","2006","13052"
"East Midlands","2007","13803"
"East Midlands","2008","13968"
"East Midlands","2009","14199"
"East Midlands","2010","14221"
"East Midlands","2011","14499"
"East Midlands","2012","14981"
"East Midlands","2013","15434"
"East Midlands","2014","15913"
"East Midlands","2015","16680"
"East Midlands","2016","16703"
"East Midlands","2017","17153"
"East Midlands","2018","17635"
"East Midlands","2019","18208"
"East Midlands","2020","18444"
"East Midlands","2021","18942"
"East Midlands","2022","19879"
"West Midlands","1997","9681"
"West Midlands","1998","9974"
"West Midlands","1999","10351"
"West Midlands","2000","10808"
"West Midlands","2001","11228"
"West Midlands","2002","11486"
"West Midlands","2003","11780"
"West Midlands","2004","12190"
"West Midlands","2005","12391"
"West Midlands","2006","12852"
"West Midlands","2007","13201"
"West Midlands","2008","13548"
"West Midlands","2009","13873"
"West Midlands","2010","14012"
"West Midlands","2011","14188"
"West Midlands","2012","14568"
"West Midlands","2013","15057"
"West Midlands","2014","15606"
"West Midlands","2015","16391"
"West Midlands","2016","16671"
"West Midlands","2017","16915"
"West Midlands","2018","17439"
"West Midlands","2019","17910"
"West Midlands","2020","18027"
"West Midlands","2021","18507"
"West Midlands","2022","19480"
"East","1997","11164"
"East","1998","11340"
"East","1999","11819"
"East","2000","12441"
"East","2001","13008"
"East","2002","13333"
"East","2003","13598"
"East","2004","14026"
"East","2005","14532"
"East","2006","14977"
"East","2007","15609"
"East","2008","16119"
"East","2009","16536"
"East","2010","16657"
"East","2011","16778"
"East","2012","17370"
"East","2013","17984"
"East","2014","18537"
"East","2015","19582"
"East","2016","19882"
"East","2017","20439"
"East","2018","21185"
"East","2019","21787"
"East","2020","21613"
"East","2021","22377"
"East","2022","23661"
"London","1997","12898"
"London","1998","13329"
"London","1999","14169"
"London","2000","15207"
"London","2001","15765"
"London","2002","15982"
"London","2003","16664"
"London","2004","17569"
"London","2005","18587"
"London","2006","19521"
"London","2007","20924"
"London","2008","21540"
"London","2009","21431"
"London","2010","21575"
"London","2011","21391"
"London","2012","22698"
"London","2013","23906"
"London","2014","24890"
"London","2015","26652"
"London","2016","27099"
"London","2017","27599"
"London","2018","29104"
"London","2019","29719"
"London","2020","29245"
"London","2021","30662"
"London","2022","32330"
"South East","1997","12683"
"South East","1998","12905"
"South East","1999","13339"
"South East","2000","14039"
"South East","2001","14504"
"South East","2002","14840"
"South East","2003","15047"
"South East","2004","15627"
"South East","2005","16185"
"South East","2006","16918"
"South East","2007","17730"
"South East","2008","18086"
"South East","2009","18443"
"South East","2010","18484"
"South East","2011","18661"
"South East","2012","19310"
"South East","2013","20083"
"South East","2014","20575"
"South East","2015","21790"
"South East","2016","22082"
"South East","2017","22624"
"South East","2018","23405"
"South East","2019","24148"
"South East","2020","23816"
"South East","2021","24606"
"South East","2022","26058"
"South West","1997","10914"
"South West","1998","11127"
"South West","1999","11525"
"South West","2000","11959"
"South West","2001","12423"
"South West","2002","12597"
"South West","2003","12930"
"South West","2004","13396"
"South West","2005","13901"
"South West","2006","14614"
"South West","2007","15134"
"South West","2008","15612"
