"Region_name","year","GDHI_pc"
"East Midlands","1997","9672"
"East Midlands","1998","9849"
"East Midlands","1999","10285"
"East Midlands","2000","10672"
"East Midlands","2001","11117"
"East Midlands","2002","11384"
"East Midlands","2003","11856"
"East Midlands","2004","12309"
"East Midlands","2005","12643"
"East Midlands","2006","13052"
"East Midlands","2007","13803"
"East Midlands","2008","13968"
"East Midlands","2009","14199"
"East Midlands","2010","14221"
"East Midlands","2011","14499"
"East Midlands","2012","14981"
"East Midlands","2013","15434"
"East Midlands","2014","15913"
"East Midlands","2015","16680"
"East Midlands","2016","16703"
"East Midlands","2017","17153"
"East Midlands","2018","17635"
"East Midlands","2019","18208"
"East Midlands","2020","18444"
"East Midlands","2021","18942"
"East Midlands","2022","19879"
"West Midlands","1997","9681"
"West Midlands","1998","9974"
"West Midlands","1999","10351"
"West Midlands","2000","10808"
"West Midlands","2001","11228"
"West Midlands","2002","11486"
"West Midlands","2003","11780"
"West Midlands","2004","12190"
"West Midlands","2005","12391"
"West Midlands","2006","12852"
"West Midlands","2007","13201"
"West Midlands","2008","13548"
"West Midlands","2009","13873"
"West Midlands","2010","14012"
"West Midlands","2011","14188"
"West Midlands","2012","14568"
"West Midlands","2013","15057"
"West Midlands","2014","15606"
"West Midlands","2015","16391"
"West Midlands","2016","16671"
"West Midlands","2017","16915"
"West Midlands","2018","17439"
"West Midlands","2019","17910"
"West Midlands","2020","18027"
"West Midlands","2021","18507"
"West Midlands","2022","19480"
"London","1997","12898"
"London","1998","13329"
"London","1999","14169"
"London","2000","15207"
"London","2001","15765"
"London","2002","15982"
"London","2003","16664"
"London","2004","17569"
"London","2005","18587"
"London","2006","19521"
"London","2007","20924"
"London","2008","21540"
"London","2009","21431"
"London","2010","21575"
"London","2011","21391"
"London","2012","22698"
"London","2013","23906"
"London","2014","24890"
"London","2015","26652"
"London","2016","27099"
"London","2017","27599"
"London","2018","29104"
"London","2019","29719"
"London","2020","29245"
"London","2021","30662"
"London","2022","32330"
